,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Ordinary Shares Number,1033496721.0,1033496721.0,1033496721.0,1033496721.0,1033496721.0,
Share Issued,1033496721.0,1033496721.0,1033496721.0,1033496721.0,1033496721.0,
Net Debt,9717329000.0,9874721000.0,10042739000.0,9047483000.0,8988916000.0,
Total Debt,10328105000.0,10308711000.0,10253596000.0,9799865000.0,10020225000.0,
Tangible Book Value,7453866000.0,7427380000.0,7104174000.0,6745154000.0,6785979000.0,
Invested Capital,17972573000.0,17919924000.0,17550422000.0,16737963000.0,16978972000.0,
Working Capital,1357487000.0,612385000.0,1435877000.0,559916000.0,933680000.0,
Net Tangible Assets,7453866000.0,7427380000.0,7104174000.0,6745154000.0,6785979000.0,
Capital Lease Obligations,871000.0,1155000.0,1116000.0,1406000.0,1733000.0,
Common Stock Equity,7645339000.0,7612368000.0,7297942000.0,6939504000.0,6960480000.0,
Total Capitalization,16900406000.0,16065375000.0,16551012000.0,15255860000.0,15361711000.0,
Total Equity Gross Minority Interest,7645339000.0,7612368000.0,7297942000.0,6939504000.0,6960480000.0,
Stockholders Equity,7645339000.0,7612368000.0,7297942000.0,6939504000.0,6960480000.0,
Other Equity Interest,-25500000.0,-25500000.0,-25500000.0,-25500000.0,-393671000.0,
Retained Earnings,728081000.0,686904000.0,365161000.0,,1187121000.0,777839000.0
Capital Stock,3067535000.0,3067535000.0,3067535000.0,3067535000.0,3067535000.0,
Common Stock,3067535000.0,3067535000.0,3067535000.0,3067535000.0,3067535000.0,
Total Liabilities Net Minority Interest,14166709000.0,13892498000.0,13732298000.0,13491589000.0,13225724000.0,
Total Non Current Liabilities Net Minority Interest,12137088000.0,11306616000.0,12048193000.0,11028848000.0,11016748000.0,
Derivative Product Liabilities,137213000.0,116865000.0,108451000.0,95129000.0,100610000.0,
Non Current Pension And Other Postretirement Benefit Plans,,,,,,3954000.0
Tradeand Other Payables Non Current,258339000.0,233620000.0,244075000.0,247882000.0,253132000.0,
Non Current Deferred Taxes Liabilities,2296814000.0,2319632000.0,2265091000.0,2198982000.0,2112220000.0,
Long Term Debt And Capital Lease Obligation,9255344000.0,8453375000.0,9253089000.0,8316451000.0,8401659000.0,
Long Term Capital Lease Obligation,277000.0,368000.0,19000.0,95000.0,428000.0,
Long Term Debt,9255067000.0,8453007000.0,9253070000.0,8316356000.0,8401231000.0,
Long Term Provisions,189378000.0,183124000.0,177487000.0,170404000.0,149127000.0,
Current Liabilities,2029621000.0,2585882000.0,1684105000.0,2462741000.0,2208976000.0,
Other Current Liabilities,51190000.0,49305000.0,46929000.0,45075000.0,42504000.0,
Current Debt And Capital Lease Obligation,1072761000.0,1855336000.0,1000507000.0,1483414000.0,1618566000.0,
Current Capital Lease Obligation,594000.0,787000.0,1097000.0,1311000.0,1305000.0,
Current Debt,1072167000.0,1854549000.0,999410000.0,1482103000.0,1617261000.0,
Pensionand Other Post Retirement Benefit Plans Current,3190000.0,4340000.0,5063000.0,2881000.0,830000.0,
Payables,902480000.0,676901000.0,631606000.0,931371000.0,547076000.0,
Other Payable,340580000.0,296495000.0,123214000.0,153440000.0,148366000.0,
Dividends Payable,190331000.0,111030000.0,301581000.0,511965000.0,206217000.0,
Total Tax Payable,74733000.0,44237000.0,46274000.0,66693000.0,45929000.0,
Accounts Payable,296836000.0,225139000.0,160537000.0,199273000.0,146564000.0,
Total Assets,21812048000.0,21504866000.0,21030240000.0,20431093000.0,20186204000.0,
Total Non Current Assets,18424940000.0,18306599000.0,17910258000.0,17408436000.0,17043548000.0,
Financial Assets,2760000.0,2947000.0,3761000.0,6911000.0,2747000.0,
Investmentin Financial Assets,40350000.0,5405000.0,5265000.0,5740000.0,5627000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,40350000.0,5405000.0,5265000.0,5740000.0,5627000.0,
Long Term Equity Investment,3115536000.0,3549520000.0,3762365000.0,3592248000.0,3705524000.0,
Investmentsin Associatesat Cost,1674331000.0,1754329000.0,1997389000.0,1900064000.0,2053544000.0,
Investmentsin Subsidiariesat Cost,1441205000.0,1795191000.0,1764976000.0,1692184000.0,1651980000.0,
Goodwill And Other Intangible Assets,191473000.0,184988000.0,193768000.0,194350000.0,174501000.0,
Net PPE,223475000.0,227704000.0,220123000.0,223394000.0,228077000.0,
Gross PPE,223475000.0,227704000.0,220123000.0,223394000.0,228077000.0,
Other Properties,223475000.0,227704000.0,220123000.0,223394000.0,228077000.0,
Current Assets,3387108000.0,3198267000.0,3119982000.0,3022657000.0,3142656000.0,
Other Current Assets,,,6383000.0,,,
Hedging Assets Current,2122000.0,12881000.0,40875000.0,72443000.0,33339000.0,
Restricted Cash,,,592879000.0,,,
Other Receivables,1822787000.0,1813687000.0,1741607000.0,1660668000.0,1533842000.0,
Taxes Receivable,163390000.0,217389000.0,256624000.0,305244000.0,316205000.0,
Accounts Receivable,325605000.0,257427000.0,271873000.0,233326000.0,229694000.0,
Cash Cash Equivalents And Short Term Investments,1073204000.0,896883000.0,209741000.0,750976000.0,1029576000.0,
Other Short Term Investments,463299000.0,464048000.0,592879000.0,,,
Cash And Cash Equivalents,609905000.0,432835000.0,209741000.0,750976000.0,1029576000.0,
Cash Equivalents,607892000.0,428793000.0,208668000.0,741347000.0,1026728000.0,
Cash Financial,2013000.0,4042000.0,1073000.0,9629000.0,2848000.0,
