,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,1014560.0,,0.0,89540.0,-572220.0,0.0,
Tax Rate For Calcs,0.34,,0.22,0.22,0.34,0.319913,
Normalized EBITDA,1031560000.0,,963978000.0,861978000.0,802689000.0,764430000.0,
Total Unusual Items,2984000.0,,,407000.0,-1683000.0,,
Total Unusual Items Excluding Goodwill,2984000.0,,,407000.0,-1683000.0,,
Net Income From Continuing Operation Net Minority Interest,214278000.0,,159789000.0,120520000.0,164401000.0,85747000.0,
Reconciled Depreciation,477355000.0,,426523000.0,408986000.0,382139000.0,355233000.0,
Reconciled Cost Of Revenue,1125812000.0,,1016756000.0,961054000.0,894097000.0,834583000.0,
EBITDA,1034544000.0,,963978000.0,862385000.0,801006000.0,764430000.0,
EBIT,557189000.0,,537455000.0,453399000.0,418867000.0,409197000.0,
Net Interest Income,-505486000.0,,-224213000.0,-301625000.0,-375890000.0,-193237000.0,
Interest Expense,365741000.0,,332128000.0,298258000.0,277868000.0,281825000.0,
Interest Income,4447000.0,,107915000.0,5274000.0,6597000.0,88588000.0,
Normalized Income,212308560.0,,159789000.0,120202540.0,165511780.0,85747000.0,
Net Income From Continuing And Discontinued Operation,214278000.0,,159789000.0,120520000.0,164401000.0,85747000.0,
Total Expenses,1362034000.0,,1360108000.0,1300723000.0,1088514000.0,1102969000.0,
Rent Expense Supplemental,50046000.0,,,50238000.0,51021000.0,,
Diluted Average Shares,601004054.0,613139198.0,613249812.0,601006859.0,,610228879.0,
Basic Average Shares,601004054.0,592592646.0,592680061.0,601006859.0,,589790592.0,
Diluted EPS,0.356736,0.235022,0.260561,0.201162,,0.140516,
Basic EPS,0.356736,0.24317,0.269604,0.201162,,0.145385,
Diluted NI Availto Com Stockholders,214278000.0,,159789000.0,120520000.0,164401000.0,85747000.0,
Net Income Common Stockholders,214278000.0,,159789000.0,120520000.0,164401000.0,85747000.0,
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0,0.0,0.0,
Net Income,214278000.0,,159789000.0,120520000.0,164401000.0,85747000.0,
Minority Interests,-152000.0,,-1100000.0,-427000.0,-665000.0,-877000.0,
Net Income Including Noncontrolling Interests,214430000.0,,160889000.0,120947000.0,165066000.0,86624000.0,
Net Income Continuous Operations,214430000.0,,160889000.0,120947000.0,165066000.0,86624000.0,
Tax Provision,-22982000.0,,44438000.0,34194000.0,-24067000.0,40748000.0,
Pretax Income,191448000.0,,205327000.0,155141000.0,140999000.0,127372000.0,
Net Non Operating Interest Income Expense,-505486000.0,,-224213000.0,-301625000.0,-375890000.0,-193237000.0,
Total Other Finance Cost,144192000.0,,,8641000.0,104619000.0,,
Interest Expense Non Operating,365741000.0,,332128000.0,298258000.0,277868000.0,281825000.0,
Interest Income Non Operating,4447000.0,,107915000.0,5274000.0,6597000.0,88588000.0,
Operating Income,586191000.0,,431032000.0,377451000.0,452085000.0,319164000.0,
Operating Expense,236222000.0,,343352000.0,339669000.0,194417000.0,268386000.0,
Other Operating Expenses,715749000.0,,10799000.0,9868000.0,546265000.0,6750000.0,
Selling General And Administration,,,332553000.0,329801000.0,,261636000.0,243560000.0
Selling And Marketing Expense,,,145407000.0,149554000.0,,114993000.0,107543000.0
General And Administrative Expense,,,187146000.0,180247000.0,,146643000.0,136017000.0
Gross Profit,822413000.0,,774384000.0,717120000.0,646502000.0,587550000.0,
Cost Of Revenue,1125812000.0,,1016756000.0,961054000.0,894097000.0,834583000.0,
Total Revenue,1948225000.0,,1791140000.0,1678174000.0,1540599000.0,1422133000.0,
Operating Revenue,1948225000.0,,1791140000.0,1678174000.0,1540599000.0,1422133000.0,
