,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,167662.072303,-589732.648003,-272615.407103,-526892.035074,-1256466.641711,
Tax Rate For Calcs,0.175013,0.164914,0.184324,0.158416,0.166243,
Total Unusual Items,958000.0,-3576000.0,-1479000.0,-3326000.0,-7558000.0,
Total Unusual Items Excluding Goodwill,958000.0,-3576000.0,-1479000.0,-3326000.0,-7558000.0,
Net Income From Continuing Operation Net Minority Interest,2302803000.0,2415912000.0,1964269000.0,2285167000.0,2251796000.0,
Reconciled Depreciation,346000.0,326000.0,314000.0,316000.0,313000.0,
EBIT,2791629000.0,2893299000.0,2409429000.0,2715594000.0,2701062000.0,
Net Interest Income,17488000.0,3899000.0,-87449000.0,15153000.0,1889000.0,
Interest Expense,310000.0,289000.0,1280000.0,277000.0,279000.0,
Interest Income,-11282000.0,,8000.0,-8719000.0,2972000.0,2851000.0
Normalized Income,2302012662.072303,2418898267.351997,1965475384.592897,2287966107.964926,2258097533.358289,
Net Income From Continuing And Discontinued Operation,2302803000.0,2415912000.0,1964269000.0,2285167000.0,2251796000.0,
Total Expenses,-1280639000.0,-1394798000.0,-918977000.0,-1267317000.0,-1275319000.0,
Rent Expense Supplemental,1154000.0,1295000.0,1424000.0,1533000.0,1425000.0,
Diluted Average Shares,,1941214909.0,1941196082.0,,1941186019.0,1956416631.0
Basic Average Shares,,1941214909.0,1941196082.0,,1941186019.0,1956416631.0
Diluted EPS,,1.24,1.01,,1.16,1.1
Basic EPS,,1.24,1.01,,1.16,1.1
Diluted NI Availto Com Stockholders,2302803000.0,2415912000.0,1964269000.0,2285167000.0,2251796000.0,
Net Income Common Stockholders,2302803000.0,2415912000.0,1964269000.0,2285167000.0,2251796000.0,
Net Income,2302803000.0,2415912000.0,1964269000.0,2285167000.0,2251796000.0,
Net Income Including Noncontrolling Interests,2302803000.0,2415912000.0,1964269000.0,2285167000.0,2251796000.0,
Net Income Continuous Operations,2302803000.0,2415912000.0,1964269000.0,2285167000.0,2251796000.0,
Tax Provision,488516000.0,477098000.0,443880000.0,430150000.0,448987000.0,
Pretax Income,2791319000.0,2893010000.0,2408149000.0,2715317000.0,2700783000.0,
Other Income Expense,0.0,31000.0,0.0,0.0,0.0,
Special Income Charges,958000.0,-3576000.0,-1479000.0,-3326000.0,-7558000.0,
Other Special Charges,-958000.0,3576000.0,1479000.0,3326000.0,7558000.0,
Net Non Operating Interest Income Expense,17488000.0,3899000.0,-87449000.0,15153000.0,1889000.0,
Total Other Finance Cost,-17798000.0,-4188000.0,86177000.0,-15429000.0,-2168000.0,
Interest Expense Non Operating,310000.0,289000.0,1280000.0,277000.0,279000.0,
Interest Income Non Operating,0.0,,8000.0,1000.0,,
Other Operating Expenses,49582000.0,27612000.0,27791000.0,27365000.0,24754000.0,
Depreciation And Amortization In Income Statement,346000.0,326000.0,314000.0,316000.0,313000.0,
Selling General And Administration,88964000.0,32539000.0,41519000.0,71565000.0,43425000.0,
Selling And Marketing Expense,36184000.0,2227000.0,8808000.0,29927000.0,31935000.0,
General And Administrative Expense,52780000.0,30312000.0,32711000.0,41638000.0,11490000.0,
Rent And Landing Fees,1154000.0,1295000.0,1424000.0,1533000.0,1425000.0,
Total Revenue,1510679000.0,1498211000.0,1489172000.0,1448000000.0,1425464000.0,
Operating Revenue,1510679000.0,1498211000.0,1489172000.0,1448000000.0,1425464000.0,
Net Policyholder Benefits And Claims,,845000.0,3814000.0,3543000.0,560000.0,1037000.0
