,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,175996000.0,-163635000.0,-76700790.0,-14328000.0,87501000.0
Repayment Of Debt,0.0,0.0,-72344081.0,81.0,-4185000.0
Issuance Of Debt,,,238182000.0,0.0,0.0
Capital Expenditure,-16675000.0,-19668000.0,,-34508000.0,-38180000.0
End Cash Position,186085000.0,149941000.0,278153000.0,298902000.0,274119000.0
Beginning Cash Position,149941000.0,278153000.0,298901827.0,274119000.0,270203000.0
Changes In Cash,36144000.0,-128212000.0,-20748619.0,24783000.0,3916000.0
Financing Cash Flow,-167679000.0,57754000.0,145547048.0,-14824000.0,-106066000.0
Net Other Financing Charges,11029000.0,87424000.0,-499.0,499.0,0.0
Cash Dividends Paid,,,116.0,0.0,
Net Issuance Payments Of Debt,0.0,0.0,165837919.0,81.0,-4185000.0
Net Long Term Debt Issuance,0.0,0.0,165837919.0,81.0,-4185000.0
Long Term Debt Payments,0.0,0.0,-72344081.0,81.0,-4185000.0
Long Term Debt Issuance,,,238182000.0,0.0,0.0
Investing Cash Flow,11152000.0,-41999000.0,-3168491.0,19427000.0,-15699000.0
Net Other Investing Changes,,,-100468046.0,46.0,
Dividends Received Cfi,0.0,0.0,,,0.0
Net Investment Purchase And Sale,27827000.0,-22331000.0,10873169.0,53935000.0,29454000.0
Purchase Of Investment,,-22331000.0,,,
Net Intangibles Purchase And Sale,-1754000.0,-5022000.0,7569473.0,-9907000.0,-13054000.0
Purchase Of Intangibles,-1754000.0,-5022000.0,7569473.0,-9907000.0,-13054000.0
Net PPE Purchase And Sale,-14921000.0,-14646000.0,,-24601000.0,-25126000.0
Purchase Of PPE,-14921000.0,-14646000.0,,-24601000.0,-25126000.0
Operating Cash Flow,192671000.0,-143967000.0,-163127176.0,20180000.0,125681000.0
Taxes Refund Paid,-23762000.0,-21913000.0,-29779426.0,-20925000.0,-15446000.0
Interest Paid Cfo,-23691000.0,-15935000.0,-21335183.0,-23490000.0,-14169000.0
Change In Working Capital,6030000.0,-245312000.0,-532637196.0,-93216000.0,-29954000.0
Change In Other Current Liabilities,-9630000.0,14663000.0,25197201.0,-10371000.0,-2938000.0
Change In Other Current Assets,7901000.0,-7999000.0,-12816592.0,136000.0,-131000.0
Change In Accrued Expense,18611000.0,-24282000.0,18611753.0,3991000.0,6515000.0
Change In Payable,63166000.0,-285482000.0,81896766.0,27329000.0,80658000.0
Change In Inventory,9475000.0,-171461000.0,-273394943.0,-174139000.0,-43863000.0
Change In Receivables,-83493000.0,229249000.0,-373173657.0,59838000.0,-70195000.0
Other Non Cash Items,7063000.0,21886000.0,16878403.0,11000000.0,-15144000.0
Provisionand Write Offof Assets,7898000.0,4598000.0,4501249.0,3901000.0,2791000.0
Deferred Tax,4122000.0,-44430000.0,64320979.0,-15812000.0,-65702000.0
Depreciation And Amortization,40825000.0,40820000.0,31380122.0,43446000.0,40922000.0
Depreciation,40825000.0,40820000.0,31380122.0,43446000.0,40922000.0
Pension And Employee Benefit Expense,,,,2077162.0,
Gain Loss On Investment Securities,,321000.0,,,75926.0
Net Foreign Currency Exchange Gain Loss,27791000.0,2356000.0,12973966.0,6732000.0,13497000.0
Gain Loss On Sale Of PPE,,,303813.0,708236.0,
Net Income From Continuing Operations,151089000.0,115039000.0,299458034.0,107166000.0,210961000.0
