,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,14672049.678741,31466215.7,155676820.0,36333080.0,17857716.8,
Tax Rate For Calcs,0.165921,0.1877,0.34,0.34,0.1078,
Normalized EBITDA,2144115000.0,2510085000.0,2406791000.0,2203986000.0,2401172000.0,
Total Unusual Items,88428000.0,167641000.0,457873000.0,106862000.0,165656000.0,
Total Unusual Items Excluding Goodwill,88428000.0,167641000.0,457873000.0,106862000.0,165656000.0,
Net Income From Continuing Operation Net Minority Interest,81253000.0,572066000.0,401242000.0,397698000.0,718588000.0,
Reconciled Depreciation,1244176000.0,1126726000.0,1298841000.0,1103818000.0,1013857000.0,
Reconciled Cost Of Revenue,3683043000.0,3097745000.0,3223998000.0,3136916000.0,3059452000.0,
EBITDA,2232543000.0,2677726000.0,2864664000.0,2310848000.0,2566828000.0,
EBIT,988367000.0,1551000000.0,1565823000.0,1207030000.0,1552971000.0,
Net Interest Income,-872902000.0,-942546000.0,-901230000.0,-973350000.0,-820329000.0,
Interest Expense,786349000.0,830459000.0,797608000.0,813012000.0,735801000.0,
Interest Income,-16267000.0,,14816000.0,-21028000.0,18999000.0,3522000.0
Normalized Income,7497049.678741,435891215.7,99045820.0,327169080.0,570789716.8,
Net Income From Continuing And Discontinued Operation,81253000.0,572066000.0,401242000.0,397698000.0,718588000.0,
Total Expenses,4366164000.0,3971737000.0,3904115000.0,3844089000.0,3782406000.0,
Rent Expense Supplemental,,,,,,44161000.0
Diluted NI Availto Com Stockholders,81253000.0,572066000.0,401242000.0,397698000.0,718588000.0,
Net Income Common Stockholders,81253000.0,572066000.0,401242000.0,397698000.0,718588000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,81253000.0,572066000.0,401242000.0,397698000.0,718588000.0,
Minority Interests,-87246000.0,-13263000.0,-45257000.0,-145032000.0,-10485000.0,
Net Income Including Noncontrolling Interests,168499000.0,585329000.0,446499000.0,542730000.0,729073000.0,
Net Income Continuous Operations,168499000.0,585329000.0,446499000.0,542730000.0,729073000.0,
Tax Provision,33519000.0,135212000.0,321716000.0,-148712000.0,88097000.0,
Pretax Income,202018000.0,720541000.0,768215000.0,394018000.0,817170000.0,
Other Non Operating Income Expenses,,,-37072000.0,,,-19936000.0
Special Income Charges,179878000.0,1471000.0,747000.0,-21680000.0,-6197000.0,
Other Special Charges,-179878000.0,-1471000.0,-747000.0,21680000.0,6197000.0,
Net Non Operating Interest Income Expense,-872902000.0,-942546000.0,-901230000.0,-973350000.0,-820329000.0,
Total Other Finance Cost,70286000.0,112087000.0,118438000.0,139310000.0,103527000.0,
Interest Expense Non Operating,786349000.0,830459000.0,797608000.0,813012000.0,735801000.0,
Interest Income Non Operating,-16267000.0,,14816000.0,-21028000.0,18999000.0,3522000.0
Operating Income,799140000.0,1275465000.0,954419000.0,1424130000.0,1216323000.0,
Operating Expense,683121000.0,873992000.0,680117000.0,707173000.0,722954000.0,
Other Operating Expenses,-117940000.0,92984000.0,9421000.0,-98533000.0,76096000.0,
Depreciation And Amortization In Income Statement,24935000.0,24376000.0,21622000.0,18203000.0,17522000.0,
Depreciation Income Statement,24935000.0,24376000.0,21622000.0,18203000.0,17522000.0,
Selling General And Administration,596920000.0,576012000.0,464131000.0,599668000.0,449530000.0,
Selling And Marketing Expense,436979000.0,476142000.0,341154000.0,438674000.0,340471000.0,
General And Administrative Expense,159941000.0,99870000.0,122977000.0,160994000.0,109059000.0,
Rent And Landing Fees,,,,,,44161000.0
Gross Profit,1482261000.0,2149457000.0,1634536000.0,2131303000.0,1939277000.0,
Cost Of Revenue,3683043000.0,3097745000.0,3223998000.0,3136916000.0,3059452000.0,
Total Revenue,5165304000.0,5247202000.0,4858534000.0,5268219000.0,4998729000.0,
Operating Revenue,5165304000.0,5247202000.0,4858534000.0,5268219000.0,4998729000.0,
