,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1071531323.105759,-326141250.0,-57091440.0,-216765380.0,397139380.0,
Tax Rate For Calcs,0.325579,0.25,0.17,0.26,0.34,
Normalized EBITDA,4245493000.0,4276166000.0,4013351000.0,3817521000.0,1757352000.0,
Total Unusual Items,-3291161000.0,-1304565000.0,-335832000.0,-833713000.0,1168057000.0,
Total Unusual Items Excluding Goodwill,-3291161000.0,-1304565000.0,-335832000.0,-833713000.0,1168057000.0,
Net Income From Continuing Operation Net Minority Interest,-891010000.0,468901000.0,1073601000.0,556168000.0,1263685000.0,
Reconciled Depreciation,771034000.0,715817000.0,889815000.0,761986000.0,760570000.0,
Reconciled Cost Of Revenue,10158453000.0,10658422000.0,9410950000.0,8238723000.0,9304238000.0,
EBITDA,954332000.0,2971601000.0,3677519000.0,2983808000.0,2925409000.0,
EBIT,183298000.0,2255784000.0,2787704000.0,2221822000.0,2164839000.0,
Net Interest Income,-676056000.0,-1065522000.0,-903966000.0,-955237000.0,-950354000.0,
Interest Expense,1032147000.0,1437668000.0,1246852000.0,1276937000.0,1326864000.0,
Interest Income,330251000.0,477013000.0,378425000.0,364589000.0,337541000.0,
Normalized Income,1328619676.894241,1447324750.0,1352341560.0,1173115620.0,492767380.0,
Net Income From Continuing And Discontinued Operation,-420318000.0,468901000.0,1073601000.0,556168000.0,1263685000.0,
Total Expenses,9376811000.0,10914482000.0,9827241000.0,8712601000.0,10301268000.0,
Diluted Average Shares,,1255525000.0,1253043000.0,1252471000.0,,1164368000.0
Basic Average Shares,,1254726000.0,1252284000.0,1251886000.0,,1163504000.0
Diluted EPS,,0.37347,0.8568,0.44406,,0.65257
Basic EPS,,0.37371,0.85731,0.44426,,0.65326
Diluted NI Availto Com Stockholders,-420318000.0,468901000.0,1073601000.0,556168000.0,1263685000.0,
Net Income Common Stockholders,-420318000.0,468901000.0,1073601000.0,556168000.0,1263685000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-420318000.0,468901000.0,1073601000.0,556168000.0,1263685000.0,
Minority Interests,-318528000.0,-140904000.0,-216034000.0,-150113000.0,-239119000.0,
Net Income Including Noncontrolling Interests,-101790000.0,609805000.0,1289635000.0,706281000.0,1502804000.0,
Net Income Continuous Operations,-572482000.0,609805000.0,1289635000.0,706281000.0,1502804000.0,
Tax Provision,-276367000.0,208311000.0,251217000.0,238604000.0,-664829000.0,
Pretax Income,-848849000.0,818116000.0,1540852000.0,944885000.0,837975000.0,
Special Income Charges,-3391990000.0,-426129000.0,300843000.0,-195278000.0,381284000.0,
Other Special Charges,444422000.0,307376000.0,-298462000.0,143819000.0,-74773000.0,
Write Off,2947568000.0,118753000.0,-2381000.0,51459000.0,-306511000.0,
Net Non Operating Interest Income Expense,-676056000.0,-1065522000.0,-903966000.0,-955237000.0,-950354000.0,
Total Other Finance Cost,-25840000.0,104867000.0,35539000.0,42889000.0,-38969000.0,
Interest Expense Non Operating,1032147000.0,1437668000.0,1246852000.0,1276937000.0,1326864000.0,
Interest Income Non Operating,330251000.0,477013000.0,378425000.0,364589000.0,337541000.0,
Operating Income,3257538000.0,2488964000.0,2295539000.0,2379945000.0,1521106000.0,
Operating Expense,-781642000.0,256060000.0,416291000.0,473878000.0,997030000.0,
Other Operating Expenses,1036640000.0,121684000.0,268380000.0,245377000.0,645271000.0,
Depreciation And Amortization In Income Statement,609543000.0,205336000.0,241917000.0,270955000.0,261347000.0,
Depreciation Income Statement,609543000.0,205336000.0,241917000.0,270955000.0,261347000.0,
Selling General And Administration,347832000.0,464503000.0,453837000.0,373555000.0,716620000.0,
Selling And Marketing Expense,255871000.0,254316000.0,238404000.0,223645000.0,374935000.0,
General And Administrative Expense,91961000.0,210187000.0,215433000.0,149910000.0,341685000.0,
Gross Profit,2475896000.0,2745024000.0,2711830000.0,2853823000.0,2518136000.0,
Cost Of Revenue,10158453000.0,10658422000.0,9410950000.0,8238723000.0,9304238000.0,
Total Revenue,12634349000.0,13403446000.0,12122780000.0,11092546000.0,11822374000.0,
Operating Revenue,12634349000.0,13403446000.0,12122780000.0,11092546000.0,11822374000.0,
