,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,5936389.496146,3410519.6,0.0,0.0,1447986.890063,,
Tax Rate For Calcs,0.128293,0.0844,0.070343,0.078286,0.073461,,
Normalized EBITDA,123654000.0,182931000.0,189133000.0,121807000.0,134635000.0,,
Total Unusual Items,46272000.0,40409000.0,,,19711000.0,20604000.0,
Total Unusual Items Excluding Goodwill,46272000.0,40409000.0,,,19711000.0,20604000.0,
Net Income From Continuing Operation Net Minority Interest,117553000.0,183453000.0,139907000.0,94099000.0,126648000.0,,
Reconciled Depreciation,8889000.0,4181000.0,5065000.0,2755000.0,3289000.0,,
Reconciled Cost Of Revenue,159798000.0,259678000.0,266271000.0,187918000.0,266469000.0,,
EBITDA,169926000.0,223340000.0,189133000.0,121807000.0,154346000.0,,
EBIT,161037000.0,219159000.0,184068000.0,119052000.0,151057000.0,,
Net Interest Income,4570000.0,-1923000.0,-944000.0,11196000.0,15731000.0,,
Interest Expense,23259000.0,16000000.0,28572000.0,13899000.0,9485000.0,,
Interest Income,25417000.0,8129000.0,23412000.0,20385000.0,21065000.0,,
Normalized Income,77217389.496146,146454519.6,139907000.0,94099000.0,108384986.890063,,
Net Income From Continuing And Discontinued Operation,117553000.0,183453000.0,139907000.0,94099000.0,126648000.0,,
Total Expenses,203460000.0,313348000.0,352162000.0,253614000.0,336431000.0,,
Diluted Average Shares,,277703270.0,277968082.0,277359404.0,,276379973.0,274978618.0
Basic Average Shares,,277703270.0,277968082.0,277359404.0,,276379973.0,274978618.0
Diluted EPS,,0.660608,0.50332,0.338168,,0.479727,0.32244
Basic EPS,,0.660608,0.50332,0.338168,,0.479727,0.32244
Diluted NI Availto Com Stockholders,117553000.0,183453000.0,139907000.0,94099000.0,126648000.0,,
Net Income Common Stockholders,117553000.0,183453000.0,139907000.0,94099000.0,126648000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,117553000.0,183453000.0,139907000.0,94099000.0,126648000.0,,
Minority Interests,-2549000.0,-2561000.0,-4651000.0,-2822000.0,-4524000.0,,
Net Income Including Noncontrolling Interests,120102000.0,186014000.0,144558000.0,96921000.0,131172000.0,,
Net Income Continuous Operations,120102000.0,186014000.0,144558000.0,96921000.0,131172000.0,,
Tax Provision,17676000.0,17145000.0,10938000.0,8232000.0,10400000.0,,
Pretax Income,137778000.0,203159000.0,155496000.0,105153000.0,141572000.0,,
Net Non Operating Interest Income Expense,4570000.0,-1923000.0,-944000.0,11196000.0,15731000.0,,
Total Other Finance Cost,-2412000.0,-5948000.0,-4216000.0,-4710000.0,-4151000.0,,
Interest Expense Non Operating,23259000.0,16000000.0,28572000.0,13899000.0,9485000.0,,
Interest Income Non Operating,25417000.0,8129000.0,23412000.0,20385000.0,21065000.0,,
Operating Income,65505000.0,156008000.0,97092000.0,57633000.0,90131000.0,,
Operating Expense,43662000.0,53670000.0,85891000.0,65696000.0,69962000.0,,
Other Operating Expenses,-40690000.0,2514000.0,3389000.0,7946000.0,-4170000.0,,
Depreciation And Amortization In Income Statement,1390000.0,1293000.0,1595000.0,1161000.0,1311000.0,,
Depreciation Income Statement,1390000.0,1293000.0,1595000.0,1161000.0,1311000.0,,
Selling General And Administration,56110000.0,49559000.0,63745000.0,42526000.0,58518000.0,,
Selling And Marketing Expense,30424000.0,32155000.0,39760000.0,25044000.0,35744000.0,,
General And Administrative Expense,25686000.0,17404000.0,23985000.0,17482000.0,22774000.0,,
Gross Profit,109167000.0,209678000.0,182983000.0,123329000.0,160093000.0,,
Cost Of Revenue,159798000.0,259678000.0,266271000.0,187918000.0,266469000.0,,
Total Revenue,268965000.0,469356000.0,449254000.0,311247000.0,426562000.0,,
Operating Revenue,268965000.0,469356000.0,449254000.0,311247000.0,426562000.0,,
