,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,190911.474675,2900424.9297,-164332.355391,754804.5,-502762.752079,
Tax Rate For Calcs,0.055498,0.065357,0.077957,0.3035,0.058177,
Normalized EBITDA,1185951000.0,441588000.0,418968000.0,603135000.0,578787000.0,
Total Unusual Items,3440000.0,44378000.0,-2108000.0,2487000.0,-8642000.0,
Total Unusual Items Excluding Goodwill,3440000.0,44378000.0,-2108000.0,2487000.0,-8642000.0,
Net Income From Continuing Operation Net Minority Interest,1010720000.0,298871000.0,236125000.0,348120000.0,410274000.0,
Reconciled Depreciation,-4197000.0,22867000.0,15941000.0,16387000.0,21210000.0,
Reconciled Cost Of Revenue,744553000.0,187605000.0,186898000.0,152925000.0,222394000.0,
EBITDA,1189391000.0,485966000.0,416860000.0,605622000.0,570145000.0,
EBIT,1183583000.0,463099000.0,400919000.0,589235000.0,548935000.0,
Net Interest Income,-88515000.0,-105126000.0,-96654000.0,-76826000.0,-91545000.0,
Interest Expense,147789000.0,137351000.0,134373000.0,101046000.0,112712000.0,
Interest Income,10723000.0,9104000.0,7593000.0,9655000.0,6178000.0,
Normalized Income,1007470911.474675,257393424.9297,238068667.644609,346387804.5,418413237.247921,
Net Income From Continuing And Discontinued Operation,1010720000.0,298871000.0,236125000.0,348120000.0,410274000.0,
Total Expenses,963774000.0,287620000.0,298630000.0,237620000.0,334945000.0,
Diluted Average Shares,,,668564304.0,678559434.0,,675992689.0
Basic Average Shares,,,668564304.0,676607051.0,,675992689.0
Diluted EPS,,,0.367653,0.513028,,0.207103
Basic EPS,,,0.367653,0.514508,,0.207103
Diluted NI Availto Com Stockholders,1010720000.0,298871000.0,236125000.0,348120000.0,410274000.0,
Net Income Common Stockholders,1010720000.0,298871000.0,236125000.0,348120000.0,410274000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,1010720000.0,298871000.0,236125000.0,348120000.0,410274000.0,
Minority Interests,32410000.0,-5587000.0,-9642000.0,8115000.0,-571000.0,
Net Income Including Noncontrolling Interests,978310000.0,304458000.0,245767000.0,340005000.0,410845000.0,
Net Income Continuous Operations,978310000.0,304458000.0,245767000.0,340005000.0,410845000.0,
Tax Provision,57484000.0,21290000.0,20779000.0,148184000.0,25378000.0,
Pretax Income,1035794000.0,325748000.0,266546000.0,488189000.0,436223000.0,
Special Income Charges,5187000.0,1304000.0,783000.0,-404000.0,14513000.0,
Other Special Charges,-5268000.0,-1611000.0,-1288000.0,73000.0,-15651000.0,
Restructuring And Mergern Acquisition,81000.0,307000.0,505000.0,331000.0,,
Net Non Operating Interest Income Expense,-88515000.0,-105126000.0,-96654000.0,-76826000.0,-91545000.0,
Total Other Finance Cost,-48551000.0,-23121000.0,-30126000.0,-14565000.0,-14989000.0,
Interest Expense Non Operating,147789000.0,137351000.0,134373000.0,101046000.0,112712000.0,
Interest Income Non Operating,10723000.0,9104000.0,7593000.0,9655000.0,6178000.0,
Operating Income,1099282000.0,229086000.0,197464000.0,165666000.0,209701000.0,
Operating Expense,219221000.0,100015000.0,111732000.0,84695000.0,112551000.0,
Other Operating Expenses,10767000.0,-142000.0,-990000.0,-10556000.0,9922000.0,
Depreciation And Amortization In Income Statement,5808000.0,5226000.0,5691000.0,5997000.0,5540000.0,
Depreciation Income Statement,5808000.0,5226000.0,5691000.0,5997000.0,5540000.0,
Selling General And Administration,243409000.0,113565000.0,122308000.0,98345000.0,111993000.0,
Selling And Marketing Expense,,,,,,11993000.0
General And Administrative Expense,243409000.0,113565000.0,122308000.0,98345000.0,144638000.0,
Gross Profit,1318503000.0,329101000.0,309196000.0,250361000.0,322252000.0,
Cost Of Revenue,744553000.0,187605000.0,186898000.0,152925000.0,222394000.0,
Total Revenue,2063056000.0,516706000.0,496094000.0,403286000.0,544646000.0,
Operating Revenue,2063056000.0,516706000.0,496094000.0,403286000.0,544646000.0,
