,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-27454000.0,,1037845000.0,1296741000.0,-1833672000.0,936744000.0
Repayment Of Debt,-1131721000.0,,-2755194000.0,-1795170000.0,25666000.0,-874663000.0
Issuance Of Debt,1126779000.0,,3693475000.0,0.0,1500000000.0,1424586000.0
Issuance Of Capital Stock,0.0,,0.0,33050000.0,-1000.0,1000.0
Capital Expenditure,-883774000.0,,-691700000.0,-640622000.0,-897155000.0,-807905000.0
End Cash Position,10106016000.0,,7302249000.0,5671194000.0,6736171000.0,6668718000.0
Beginning Cash Position,8959471000.0,,5671194000.0,6736171000.0,6668718000.0,11904719000.0
Effect Of Exchange Rate Changes,82128000.0,,-68988000.0,-184364000.0,,
Changes In Cash,1064417000.0,,1700043000.0,-880613000.0,-624514000.0,-5070287000.0
Financing Cash Flow,782113000.0,,441455000.0,-2345173000.0,-74240000.0,-175643000.0
Net Other Financing Charges,1649838000.0,,661703000.0,325351000.0,0.0,148989000.0
Interest Paid Cff,-574033000.0,,-673126000.0,-495975000.0,-724285000.0,-382235000.0
Cash Dividends Paid,3099000.0,,-363239000.0,-277170000.0,-408471000.0,-399129000.0
Net Common Stock Issuance,0.0,,0.0,33050000.0,-1000.0,1000.0
Common Stock Issuance,0.0,,0.0,33050000.0,-1000.0,1000.0
Net Issuance Payments Of Debt,-4942000.0,,938281000.0,-1795170000.0,1525666000.0,549923000.0
Net Long Term Debt Issuance,-4942000.0,,938281000.0,-1795170000.0,1525666000.0,549923000.0
Long Term Debt Payments,-1131721000.0,,-2755194000.0,-1795170000.0,25666000.0,-874663000.0
Long Term Debt Issuance,1126779000.0,,3693475000.0,0.0,1500000000.0,1424586000.0
Investing Cash Flow,-574016000.0,,-470957000.0,-472803000.0,386243000.0,-6639293000.0
Net Other Investing Changes,38485000.0,,3707000.0,2837000.0,78705000.0,-6255444000.0
Dividends Received Cfi,37129000.0,,1785000.0,4361000.0,4335000.0,2550000.0
Net Investment Purchase And Sale,234144000.0,,215251000.0,160621000.0,,
Net Business Purchase And Sale,0.0,,,0.0,0.0,0.0
Purchase Of Business,,,,0.0,,0.0
Net PPE Purchase And Sale,186323000.0,,-691700000.0,-640622000.0,294026000.0,-807905000.0
Purchase Of PPE,186323000.0,,-691700000.0,-640622000.0,294026000.0,-807905000.0
Operating Cash Flow,856320000.0,,1729545000.0,1937363000.0,-936517000.0,1744649000.0
Taxes Refund Paid,-18186000.0,,-38694000.0,-65831000.0,-129026000.0,-174678000.0
Change In Working Capital,-645695000.0,,-201660000.0,221469000.0,-370742000.0,-92666000.0
Change In Other Current Liabilities,-293405000.0,8857000.0,-46334000.0,167268000.0,190118000.0,
Change In Other Current Assets,317696000.0,,-38184000.0,-48644000.0,76682000.0,14548000.0
Change In Payable,-484378000.0,,559766000.0,-124345000.0,-583854000.0,81910000.0
Change In Inventory,216938000.0,,-572961000.0,300791000.0,491836000.0,433600000.0
Change In Receivables,-372374000.0,,-192588000.0,68054000.0,-491024000.0,-183609000.0
Other Non Cash Items,416182000.0,,402880000.0,430046000.0,-1634147000.0,331473000.0
Provisionand Write Offof Assets,-83000.0,,,14358000.0,8438000.0,18192000.0
Deferred Tax,,,,,42844000.0,
Depreciation And Amortization,1244176000.0,,1126726000.0,1298841000.0,1103818000.0,1013857000.0
Depreciation,1244176000.0,,1126726000.0,1298841000.0,1103818000.0,1013857000.0
Gain Loss On Investment Securities,-46495000.0,,-312448000.0,-591800000.0,-1444421000.0,-380580000.0
Net Foreign Currency Exchange Gain Loss,-42948000.0,,-55659000.0,-137683000.0,1083769000.0,-64490000.0
Net Income From Continuing Operations,202018000.0,,720541000.0,768215000.0,394018000.0,817170000.0
