,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,235999000.0,674574000.0,686410000.0,560413000.0,634939000.0,
Repurchase Of Capital Stock,-1483000.0,-528000.0,-286000.0,-200089000.0,0.0,
Repayment Of Debt,-167556000.0,-1224634000.0,-25366000.0,-146667000.0,-1164964000.0,
Issuance Of Debt,0.0,,,2000000000.0,260000000.0,1000000000.0
Issuance Of Capital Stock,,,0.0,0.0,-26536000.0,19987000.0
Capital Expenditure,-42645000.0,,-198646000.0,-1538000.0,-88844000.0,-97640000.0
End Cash Position,670748000.0,635402000.0,495034000.0,596753000.0,488839000.0,
Beginning Cash Position,635402000.0,495034000.0,596753000.0,488839000.0,434562000.0,
Changes In Cash,35346000.0,140368000.0,-101719000.0,107914000.0,54277000.0,
Other Cash Adjustment Inside Changein Cash,,,0.0,0.0,,
Financing Cash Flow,-390219000.0,-800304000.0,-260831000.0,907654000.0,-1167744000.0,
Net Other Financing Charges,-34020000.0,-182503000.0,-76717000.0,-11305000.0,-19812000.0,
Interest Paid Cff,-27577000.0,-753196000.0,-25667000.0,-571245000.0,-100977000.0,
Net Common Stock Issuance,-26849000.0,-528000.0,-286000.0,-200089000.0,-26536000.0,
Common Stock Payments,-1483000.0,-528000.0,-286000.0,-200089000.0,0.0,
Common Stock Issuance,,,0.0,0.0,-26536000.0,19987000.0
Net Issuance Payments Of Debt,-167556000.0,275366000.0,-25366000.0,1853333000.0,-904964000.0,
Net Long Term Debt Issuance,-167556000.0,275366000.0,-25366000.0,1853333000.0,-904964000.0,
Long Term Debt Payments,-167556000.0,-1224634000.0,-25366000.0,-146667000.0,-1164964000.0,
Long Term Debt Issuance,0.0,,,2000000000.0,260000000.0,1000000000.0
Investing Cash Flow,172117000.0,301347000.0,-725944000.0,-1361691000.0,513118000.0,
Net Other Investing Changes,-182544000.0,-248978000.0,-36000.0,-334080000.0,-91930000.0,
Dividends Received Cfi,,,0.0,0.0,,
Net Investment Purchase And Sale,397306000.0,515076000.0,-527262000.0,-1026073000.0,693892000.0,
Sale Of Investment,4085575000.0,4407700000.0,3188234000.0,4221973000.0,5390172000.0,
Purchase Of Investment,-3688269000.0,-3892624000.0,-3715496000.0,-5248046000.0,-4696280000.0,
Net Business Purchase And Sale,,,,0.0,0.0,0.0
Sale Of Business,,,,0.0,0.0,0.0
Net Intangibles Purchase And Sale,-42645000.0,-66569000.0,-96828000.0,-1538000.0,-88844000.0,
Purchase Of Intangibles,-42645000.0,-66569000.0,-96828000.0,-1538000.0,-88844000.0,
Net PPE Purchase And Sale,,,-101818000.0,,,-46389000.0
Purchase Of PPE,,,-101818000.0,,,-46389000.0
Operating Cash Flow,278644000.0,639325000.0,885056000.0,561951000.0,723783000.0,
Taxes Refund Paid,-8647000.0,-8474000.0,-103053000.0,-61285000.0,-48728000.0,
Change In Working Capital,-806874000.0,302880000.0,-264179000.0,-620171000.0,-86168000.0,
Change In Other Current Liabilities,239367000.0,698836000.0,216520000.0,-1745627000.0,450695000.0,
Change In Other Current Assets,-343542000.0,-207481000.0,-123219000.0,1490407000.0,-163691000.0,
Change In Payable,-570581000.0,-279599000.0,-267651000.0,-715070000.0,-272284000.0,
Change In Inventory,61203000.0,-32916000.0,-18915000.0,23090000.0,14421000.0,
Change In Receivables,-24339000.0,220510000.0,-25228000.0,116566000.0,-28689000.0,
Other Non Cash Items,670847000.0,443686000.0,548805000.0,469178000.0,555258000.0,
Stock Based Compensation,6759000.0,12739000.0,16347000.0,-2386000.0,32768000.0,
Provisionand Write Offof Assets,4290000.0,15594000.0,35323000.0,80846000.0,3946000.0,
Deferred Tax,291627000.0,-99752000.0,316353000.0,710702000.0,248732000.0,
Depreciation And Amortization,409108000.0,413126000.0,428050000.0,445269000.0,432658000.0,
Depreciation,409108000.0,413126000.0,428050000.0,445269000.0,432658000.0,
Gain Loss On Investment Securities,-468521000.0,-88166000.0,-259036000.0,-218939000.0,-342186000.0,
Net Foreign Currency Exchange Gain Loss,-6957000.0,-13272000.0,-19513000.0,17935000.0,8727000.0,
Gain Loss On Sale Of PPE,24337000.0,98000.0,62000.0,-8573000.0,243000.0,
Net Income From Continuing Operations,87109000.0,-331511000.0,185897000.0,-252345000.0,-81467000.0,
