,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-216780713.90527,1959955.2,-148716896.0,-163077273.6,-120565758.620271,
Tax Rate For Calcs,0.236408,0.0672,0.184,0.2166,0.272921,
Normalized EBITDA,9512628000.0,7503795000.0,6498220000.0,7908808000.0,10022552000.0,
Total Unusual Items,-916977000.0,29166000.0,-808244000.0,-752896000.0,-441760000.0,
Total Unusual Items Excluding Goodwill,-916977000.0,29166000.0,-808244000.0,-752896000.0,-441760000.0,
Net Income From Continuing Operation Net Minority Interest,4346604000.0,4745128000.0,2717722000.0,3693946000.0,4880342000.0,
Reconciled Depreciation,1817099000.0,1599347000.0,1702403000.0,1713251000.0,2043952000.0,
Reconciled Cost Of Revenue,11752240000.0,10120005000.0,10046123000.0,10945732000.0,12523523000.0,
EBITDA,8595651000.0,7532961000.0,5689976000.0,7155912000.0,9580792000.0,
EBIT,6778552000.0,5933614000.0,3987573000.0,5442661000.0,7536840000.0,
Net Interest Income,-235482000.0,-162352000.0,-136632000.0,-23283000.0,-51258000.0,
Interest Expense,846765000.0,719722000.0,567897000.0,586316000.0,626268000.0,
Interest Income,-47956000.0,389716000.0,249477000.0,564187000.0,20481000.0,
Normalized Income,5046800286.09473,4717921955.2,3377249104.0,4283764726.4,5201536241.379729,
Net Income From Continuing And Discontinued Operation,4346604000.0,4745128000.0,2717722000.0,3693946000.0,4880342000.0,
Total Expenses,17415093000.0,15576498000.0,15867732000.0,16867573000.0,19305012000.0,
Total Operating Income As Reported,6903297000.0,6305277000.0,4399118000.0,5710008000.0,7523102000.0,
Diluted Average Shares,15666800000.0,,15673137255.0,15739011504.0,15809800000.0,15814776051.0
Basic Average Shares,15600500000.0,,15601159587.0,15665589483.0,15728200000.0,15728513636.0
Diluted EPS,0.28,,0.1734,0.2347,0.31,0.2188
Basic EPS,0.28,,0.1742,0.2358,0.31,0.22
Diluted NI Availto Com Stockholders,4346604000.0,4745128000.0,2717722000.0,3693946000.0,4880342000.0,
Net Income Common Stockholders,4346604000.0,4745128000.0,2717722000.0,3693946000.0,4880342000.0,
Minority Interests,-182861000.0,-118592000.0,-72844000.0,-110703000.0,-144187000.0,
Net Income Including Noncontrolling Interests,4529465000.0,4863720000.0,2790566000.0,3804649000.0,5024529000.0,
Net Income Continuous Operations,4529465000.0,4863720000.0,2790566000.0,3804649000.0,5024529000.0,
Tax Provision,1402322000.0,350172000.0,629110000.0,1051696000.0,1886043000.0,
Pretax Income,5931787000.0,5213892000.0,3419676000.0,4856345000.0,6910572000.0,
Other Income Expense,-1225304000.0,105480000.0,-666154000.0,-750177000.0,-768607000.0,
Other Non Operating Income Expenses,,81706000.0,147547000.0,,,67978000.0
Special Income Charges,-177343000.0,836367000.0,-50140000.0,13416000.0,-214260000.0,
Gain On Sale Of Ppe,13252000.0,9870000.0,29488000.0,32590000.0,46413000.0,
Gain On Sale Of Business,-22467000.0,884467000.0,,,,
Other Special Charges,64089000.0,19414000.0,28590000.0,-2193000.0,208744000.0,
Restructuring And Mergern Acquisition,104039000.0,38556000.0,51038000.0,21367000.0,51929000.0,
Earnings From Equity Interest,113930000.0,-5392000.0,-5457000.0,2719000.0,2078000.0,
Gain On Sale Of Security,-739634000.0,-807201000.0,-758104000.0,-766312000.0,-227500000.0,
Net Non Operating Interest Income Expense,-235482000.0,-162352000.0,-136632000.0,-23283000.0,-51258000.0,
Total Other Finance Cost,-659239000.0,-167654000.0,-181788000.0,1154000.0,-554529000.0,
Interest Expense Non Operating,846765000.0,719722000.0,567897000.0,586316000.0,626268000.0,
Interest Income Non Operating,-47956000.0,389716000.0,249477000.0,564187000.0,20481000.0,
Operating Income,7392573000.0,5270764000.0,4222462000.0,5629805000.0,7730437000.0,
Operating Expense,5662853000.0,5456493000.0,5821609000.0,5921841000.0,6781489000.0,
Other Operating Expenses,-1076723000.0,-475553000.0,-408820000.0,-582608000.0,-845191000.0,
Other Taxes,49330000.0,97461000.0,50829000.0,68980000.0,-58888000.0,
Selling General And Administration,6690246000.0,5834585000.0,6179600000.0,6435469000.0,7685568000.0,
Selling And Marketing Expense,5097551000.0,4479574000.0,4753253000.0,4946622000.0,5797868000.0,
General And Administrative Expense,1592695000.0,1355011000.0,1426347000.0,1488847000.0,1887700000.0,
Other Gand A,1592695000.0,1355011000.0,1426347000.0,1488847000.0,1887700000.0,
Gross Profit,13055426000.0,10727257000.0,10044071000.0,11551646000.0,14511926000.0,
Cost Of Revenue,11752240000.0,10120005000.0,10046123000.0,10945732000.0,12523523000.0,
Total Revenue,24807666000.0,20847262000.0,20090194000.0,22497378000.0,27035449000.0,
Excise Taxes,7751287000.0,6626253000.0,6247115000.0,6940245000.0,7981695000.0,
Operating Revenue,37028601000.0,31023012000.0,29647661000.0,33653426000.0,40705336000.0,
