,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,4080.0,1687000.0,0.0,-6298508.06617,0.0
Tax Rate For Calcs,0.34,0.07,0.14,0.0963,0.09
Normalized EBITDA,577592000.0,750632000.0,650876000.0,835298000.0,650696000.0
Total Unusual Items,12000.0,24100000.0,0.0,-65405000.0,0.0
Total Unusual Items Excluding Goodwill,12000.0,24100000.0,0.0,-65405000.0,0.0
Net Income From Continuing Operation Net Minority Interest,340606000.0,510019000.0,365161000.0,506794000.0,409282000.0
Reconciled Depreciation,11521000.0,9541000.0,7888000.0,9878000.0,4920000.0
Reconciled Cost Of Revenue,641375000.0,545296000.0,324230000.0,395741000.0,387020000.0
EBITDA,577604000.0,774732000.0,650876000.0,769893000.0,650696000.0
EBIT,566083000.0,765191000.0,642988000.0,760015000.0,645776000.0
Net Interest Income,-249847000.0,-201961000.0,-202437000.0,-226840000.0,-200054000.0
Interest Expense,260535000.0,219662000.0,219902000.0,199216000.0,194642000.0
Interest Income,2786000.0,17390000.0,20790000.0,6813000.0,2688000.0
Normalized Income,340598080.0,487606000.0,365161000.0,565900491.93383,409282000.0
Net Income From Continuing And Discontinued Operation,340606000.0,510019000.0,365161000.0,506794000.0,409282000.0
Total Expenses,707243000.0,608011000.0,385633000.0,504640000.0,440039000.0
Diluted NI Availto Com Stockholders,340606000.0,510019000.0,365161000.0,506794000.0,409282000.0
Net Income Common Stockholders,340606000.0,510019000.0,365161000.0,506794000.0,409282000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,340606000.0,510019000.0,365161000.0,506794000.0,409282000.0
Net Income Including Noncontrolling Interests,340606000.0,510019000.0,365161000.0,506794000.0,409282000.0
Net Income Continuous Operations,340606000.0,510019000.0,365161000.0,506794000.0,409282000.0
Tax Provision,-35058000.0,35510000.0,57925000.0,54005000.0,41852000.0
Pretax Income,305548000.0,545529000.0,423086000.0,560799000.0,451134000.0
Net Non Operating Interest Income Expense,-249847000.0,-201961000.0,-202437000.0,-226840000.0,-200054000.0
Total Other Finance Cost,-7902000.0,-311000.0,3325000.0,34437000.0,8100000.0
Interest Expense Non Operating,260535000.0,219662000.0,219902000.0,199216000.0,194642000.0
Interest Income Non Operating,2786000.0,17390000.0,20790000.0,6813000.0,2688000.0
Operating Income,473314000.0,653817000.0,597260000.0,581917000.0,550950000.0
Operating Expense,65868000.0,62715000.0,61403000.0,108899000.0,53019000.0
Other Operating Expenses,1170000.0,4732000.0,3989000.0,,2303000.0
Depreciation And Amortization In Income Statement,9925000.0,8634000.0,7131000.0,7130000.0,4516000.0
Depreciation Income Statement,9925000.0,8634000.0,7131000.0,7130000.0,4516000.0
Selling General And Administration,13887000.0,9527000.0,11078000.0,8752000.0,8187000.0
General And Administrative Expense,13887000.0,9527000.0,11078000.0,8752000.0,8187000.0
Gross Profit,539182000.0,716532000.0,658663000.0,690816000.0,603969000.0
Cost Of Revenue,641375000.0,545296000.0,324230000.0,395741000.0,387020000.0
Total Revenue,1180557000.0,1261828000.0,982893000.0,1086557000.0,990989000.0
Operating Revenue,1180557000.0,1261828000.0,982893000.0,1086557000.0,990989000.0
